"CHRISTOW (KENNICK) NEW SITE",,,,,,,,,,,,
Grid ref,SX808838,Long,-3.687150,Lat,50.641662,,,,,,,
Station no,1744/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.72,5.49,6.97,5.73,,
February,,,,,,,7.15,5.46,0.43,8.13,,
March,,,,,,,5.10,3.12,6.18,4.54,,
April,,,,,,,0.34,0.75,4.76,4.32,,
May,,,,,,,2.62,4.21,1.69,2.69,,
June,,,,,,,2.67,4.91,1.46,1.68,,
July,,,,,,,4.33,3.37,2.58,4.70,,
August,,,,,,,3.22,5.18,3.15,4.43,,
September,,,,,,,3.42,5.64,0.31,10.96,,
October,,,,,,,2.30,3.86,4.56,12.18,,
November,,,,,,,3.27,2.41,10.93,7.13,,
December,,,,,,,3.96,5.54,10.71,5.38,,
Total,,,,,,,42.10,49.94,53.73,71.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,42.10,49.94,53.73,71.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
