"HURWORTH BURN RESERVOIR",,,,,,,,,,,,
Grid ref,NZ409333,Long,-1.366991,Lat,54.693085,,,,,,,
Station no,3526,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.25,1.82,0.79,2.16,1.96,3.08,1.46,1.38,2.52,4.58,,
February,2.32,0.55,1.82,1.59,2.26,1.45,2.13,3.58,0.54,1.89,,
March,4.40,1.81,0.11,1.19,1.37,0.85,0.96,2.40,0.60,1.71,,
April,1.34,1.58,2.06,0.30,1.00,0.83,0.35,1.51,1.76,0.61,,
May,5.72,1.53,1.97,2.40,1.39,0.38,1.53,3.01,0.49,1.48,,
June,1.20,1.28,1.94,1.56,2.60,3.51,1.99,2.71,1.19,0.29,,
July,1.91,0.81,3.12,1.98,1.14,2.50,3.66,2.56,2.04,4.08,,
August,4.90,1.94,4.28,4.55,0.56,8.84,2.54,2.87,0.18,2.19,,
September,0.88,5.50,1.09,1.69,1.51,1.90,3.15,1.53,0.75,2.02,,
October,1.38,2.57,1.40,4.18,1.19,1.18,1.61,1.32,1.20,8.91,,
November,5.11,3.93,1.42,3.78,1.92,0.70,1.60,0.56,3.77,2.85,,
December,3.16,2.01,0.76,1.89,2.48,1.76,1.11,3.09,2.84,2.32,,
Total,33.57,25.33,20.76,27.27,19.38,26.98,22.09,26.52,17.88,32.93,,
Calc annual,33.57,25.33,20.76,27.27,19.38,26.98,22.09,26.52,17.88,32.93,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
