"LOCH SLOY (MAIN ADIT)",,,,,,,,,,,,
Grid ref,NN293105,Long,-4.757163,Lat,56.256239,,,,,,,
Station no,5333/3/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,17.41,5.17,8.42,,
February,,,,,,,,6.28,6.21,10.29,,
March,,,,,,,,4.32,10.08,4.40,,
April,,,,,,,,6.11,9.45,12.07,,
May,,,,,,,,8.64,3.73,6.09,,
June,,,,,,,,4.08,7.51,6.78,,
July,,,,,,,,6.94,13.19,9.67,,
August,,,,,,,,11.01,7.52,6.16,,
September,,,,,,,,10.69,3.48,4.99,,
October,,,,,,,,12.84,13.45,6.15,,
November,,,,,,,,3.75,14.05,14.00,,
December,,,,,,,19.11,12.00,20.62,15.65,,
Total,,,,,,,,104.07,114.46,104.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,19.11,104.07,114.46,104.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,,
