"PENTLAND HILLS (SWANSTON)",,,,,,,,,,,,
Grid ref,NT235672,Long,-3.224752,Lat,55.891831,,,,,,,
Station no,5133,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,2.30,0.58,3.50,1.25,1.05,3.60,1.50,0.50,2.03,,
February,2.20,0.38,0.80,1.55,1.15,1.50,2.55,2.25,,1.80,,
March,2.88,1.03,0.37,1.41,1.15,1.10,0.43,2.00,0.50,1.20,,
April,2.45,1.23,2.05,1.38,0.40,0.60,0.52,1.60,1.70,-999.00,,
May,3.20,1.48,1.25,4.35,2.13,0.80,1.53,1.80,0.30,1.30,,
June,1.58,1.10,1.68,2.15,0.75,2.15,1.40,3.80,1.70,1.10,,
July,3.75,1.38,3.30,1.68,0.96,5.03,4.70,6.70,2.34,-999.00,,
August,5.25,3.90,1.93,4.53,0.93,6.00,2.50,2.60,0.30,-999.00,,
September,0.93,1.53,3.00,2.95,1.27,3.93,0.90,2.40,,,,
October,0.55,1.38,1.40,5.90,1.38,2.57,1.90,1.05,,,,
November,4.45,2.05,3.29,3.25,0.68,1.25,1.75,1.10,,-999.00,,
December,2.39,3.03,3.45,2.65,4.15,2.25,2.77,4.90,2.85,3.00,,
Total,32.11,20.79,23.10,35.30,16.20,28.23,24.55,31.70,,-999.00,,
Calc annual,32.11,20.79,23.10,35.30,16.20,28.23,24.55,31.70,10.19,10.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,-1009.43,,
