"SHAP (TAILBERT HEAD)",,,,,,,,,,,,
Grid ref,NY530143,Long,-2.727623,Lat,54.521798,,,,,,,
Station no,3672,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.96,6.20,1.30,4.90,5.71,4.04,15.91,9.53,5.92,11.62,,
February,7.05,1.17,1.24,5.80,2.29,0.44,6.44,7.48,1.78,11.44,,
March,5.31,3.78,0.54,5.51,1.69,1.58,6.05,1.90,5.53,1.61,,
April,6.04,4.55,4.31,0.64,1.75,0.79,1.21,2.07,7.59,6.66,,
May,1.80,3.07,3.33,5.17,4.95,2.60,3.76,6.82,2.15,2.50,,
June,1.21,3.17,3.63,4.33,3.42,3.59,1.45,4.84,5.67,4.41,,
July,4.08,1.40,6.42,2.57,2.44,4.60,4.05,5.28,5.23,5.87,,
August,6.09,5.71,6.00,7.75,2.34,9.52,7.67,4.78,0.99,4.04,,
September,8.01,4.80,6.48,9.94,2.89,5.59,6.63,7.95,1.16,3.75,,
October,0.76,7.50,3.44,13.96,4.19,5.74,8.59,7.57,7.89,5.13,,
November,12.01,2.28,7.24,14.09,3.64,2.60,2.13,1.12,11.27,18.92,,
December,11.15,3.96,3.97,6.48,7.61,8.83,6.51,6.33,14.99,9.92,,
Total,69.47,47.59,47.90,81.14,42.92,49.92,70.40,65.67,70.17,85.87,,
Calc annual,69.47,47.59,47.90,81.14,42.92,49.92,70.40,65.67,70.17,85.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
