"ARDGOUR HOUSE",,,,,,,,,,,,
Grid ref,NM995638,Long,-5.278424,Lat,56.722669,,,,,,,
Station no,5397,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.22,10.77,9.95,11.49,6.19,,,,,,,
February,5.47,6.50,9.40,5.68,3.68,,,,,,,
March,5.01,7.15,3.54,7.03,1.46,,,,,,,
April,7.67,4.53,5.03,4.65,7.77,,,,,,,
May,0.58,3.04,6.11,4.29,4.58,,,,,,,
June,3.63,6.86,1.26,9.33,6.45,,,,,,,
July,7.69,5.64,11.54,6.62,1.61,,,,,,,
August,7.17,7.70,10.06,8.80,2.40,,,,,,,
September,8.92,9.21,13.89,13.37,12.27,,,,,,,
October,5.22,10.03,6.91,18.57,10.09,,,,,,,
November,9.59,4.09,19.68,14.82,4.00,,,,,,,
December,17.90,11.90,11.47,18.75,12.33,,,,,,,
Total,91.07,87.42,108.84,123.40,72.83,,,,,,,
Calc annual,91.07,87.42,108.84,123.40,72.83,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
