"HOLME-ON-SPALDING MOOR (VICARAGE) (PARKGATE)",,,,,,,,,,,,
Grid ref,SE813382,Long,-0.766125,Lat,53.833707,,,,,,,
Station no,3396,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.64,1.65,0.82,1.39,1.48,4.44,1.23,2.34,1.90,,,
February,2.29,0.53,1.75,1.77,1.57,1.90,1.77,4.01,0.25,,,
March,2.74,2.23,0.37,2.11,2.18,1.23,1.44,2.14,0.78,,,
April,1.01,0.99,1.64,0.20,0.94,1.68,0.27,1.05,2.71,,,
May,2.52,1.03,1.70,2.77,3.25,0.59,0.90,1.90,0.80,,,
June,1.65,1.90,1.41,2.24,2.27,3.03,2.10,3.68,1.13,,,
July,1.63,3.09,2.45,2.09,1.18,3.68,2.59,4.07,0.98,,,
August,5.09,1.23,2.73,4.34,0.74,6.12,6.91,1.90,0.32,,,
September,1.38,2.99,1.46,2.35,1.06,1.32,3.47,1.59,0.12,,,
October,1.10,2.13,1.38,3.60,1.65,1.33,1.49,1.78,1.92,,,
November,4.64,1.93,1.79,4.07,1.31,0.93,1.83,0.84,2.38,,,
December,2.02,1.59,1.13,2.02,2.80,1.66,2.19,3.13,,,,
Total,27.71,21.29,18.63,28.95,20.43,27.91,26.19,28.43,,,,
Calc annual,27.71,21.29,18.63,28.95,20.43,27.91,26.19,28.43,13.29,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
