"MOURNE MOUNTAINS (FOFFANNY RESERVOIR)",,,,,,,,,,,,
Grid ref,IJ285291,Long,-6.031665,Lat,54.194871,,,,,,,
Station no,6198/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,9.55,8.82,3.51,7.14,,
February,,,,,,,6.21,4.93,2.38,8.58,,
March,,,,,,,6.71,3.30,6.07,6.86,,
April,,,,,,,1.82,1.69,4.24,6.49,,
May,,,,,,,3.38,6.96,2.47,3.20,,
June,,,,,,5.85,1.38,10.18,1.86,4.64,,
July,,,,,,5.11,7.80,5.45,3.78,10.01,,
August,,,,,,9.77,6.04,9.20,1.65,5.55,,
September,,,,,,7.01,6.96,11.72,3.72,5.40,,
October,,,,,,3.73,5.65,4.24,6.75,14.94,,
November,,,,,,2.61,3.86,2.49,8.35,9.18,,
December,,,,,,11.14,10.18,8.06,14.82,5.14,,
Total,,,,,,,69.54,77.02,59.60,87.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,45.22,69.54,77.04,59.60,87.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.02,0.00,-0.00,,
