"SKYE (SASSAIG)",,,,,,,,,,,,
Grid ref,NG663082,Long,-5.860657,Lat,57.105198,,,,,,,
Station no,5755/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.99,,,,,,,,,,,
February,3.92,,,,,,,,,,,
March,4.68,,,,,,,,,,,
April,5.85,,,,,,,,,,,
May,0.42,2.67,,,,,,,,,,
June,2.70,6.55,,,,,,,,,,
July,9.38,,,,,,,,,,,
August,4.88,,,,,,,,,,,
September,7.41,,,,,,,,,,,
October,5.29,,,,,,,,,,,
November,9.17,,,,,,,,,,,
December,11.00,,,,,,,,,,,
Total,73.69,,,,,,,,,,,
Calc annual,73.69,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
