"LOCH TURRET (BEN CHONZIE)",,,,,,,,,,,,
Grid ref,NN769304,Long,-3.998721,Lat,56.449643,,,,,,,
Station no,1331497,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.60,4.30,2.30,,4.70,5.00,10.60,8.70,4.00,7.50,,
February,7.00,2.20,2.00,,3.60,2.75,10.90,4.80,2.50,8.50,,
March,6.60,5.60,2.20,,4.80,4.75,6.80,6.30,6.45,5.00,,
April,6.50,4.20,3.00,,3.30,1.70,3.15,3.35,6.50,8.00,,
May,2.00,3.50,3.25,,2.80,3.90,4.30,4.90,1.75,5.00,,
June,3.15,3.45,2.75,3.90,3.10,3.80,3.10,4.35,3.30,3.80,,
July,4.46,3.50,7.00,3.75,1.60,6.70,6.50,7.35,8.30,5.95,,
August,9.00,6.75,3.20,5.00,1.60,8.02,7.20,5.95,4.05,,,
September,5.85,2.90,7.20,6.00,4.50,8.95,5.20,6.90,1.70,,,
October,2.40,6.15,4.00,10.60,5.80,5.60,5.25,5.75,,,,
November,15.20,3.30,,,3.70,,6.70,2.80,16.30,,,
December,10.00,4.30,,,11.50,,11.20,8.40,17.00,,,
Total,79.76,50.15,,,51.00,85.02,80.90,69.55,71.85,,,
Calc annual,79.76,50.15,36.90,29.25,51.00,51.17,80.90,69.55,71.85,43.75,,
Difference,0.00,0.00,NaN,NaN,-0.00,33.85,0.00,-0.00,0.00,NaN,,
