"HINCKLEY (BOWLING GREEN ROAD)",,,,,,,,,,,,
Grid ref,SP434941,Long,-1.361487,Lat,52.543032,,,,,,,
Station no,2497/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,2.30,1.17,1.01,2.02,4.10,1.31,2.90,3.30,4.28,,
February,2.96,0.51,1.61,2.54,2.26,0.77,2.60,3.87,0.05,1.82,,
March,3.84,2.64,1.46,2.25,2.76,0.92,2.43,1.68,2.14,1.29,,
April,1.97,1.96,2.30,0.50,1.00,0.84,0.17,1.00,2.95,1.16,,
May,3.53,3.87,1.51,2.07,4.01,0.71,1.65,1.93,0.65,1.07,,
June,1.71,1.77,2.75,3.05,2.62,3.19,1.20,4.86,1.29,4.07,,
July,1.10,0.37,2.80,2.67,1.51,2.50,2.64,5.37,1.89,2.91,,
August,5.44,3.22,2.27,3.81,0.47,5.34,3.35,2.21,1.15,2.49,,
September,1.40,1.46,1.57,2.51,1.58,1.95,4.70,2.44,0.11,3.73,,
October,0.83,2.65,2.70,3.68,1.51,1.34,1.05,2.32,2.24,4.81,,
November,4.67,2.37,1.13,5.39,1.86,0.79,1.83,1.86,2.62,3.43,,
December,1.92,2.76,0.85,2.01,2.08,3.28,2.27,2.84,3.77,3.12,,
Total,32.00,25.88,22.12,31.49,23.68,25.73,25.20,33.28,22.16,34.18,,
Calc annual,32.00,25.88,22.12,31.49,23.68,25.73,25.20,33.28,22.16,34.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
