"MELROSE (BOWDEN KIPPILAW)",,,,,,,,,,,,
Grid ref,NT549287,Long,-2.716387,Lat,55.549903,,,,,,,
Station no,5051/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.93,2.72,0.39,,,,,,,,,
February,2.19,0.55,0.71,,,,,,,,,
March,2.60,1.06,0.48,,,,,,,,,
April,2.44,1.86,2.27,,,,,,,,,
May,2.46,2.10,2.27,,,,,,,,,
June,1.49,2.64,1.32,,,,,,,,,
July,4.10,1.21,4.02,,,,,,,,,
August,2.64,3.04,2.38,,,,,,,,,
September,1.84,1.57,2.92,,,,,,,,,
October,0.25,3.32,,,,,,,,,,
November,5.21,3.46,,,,,,,,,,
December,2.14,3.32,,,,,,,,,,
Total,30.29,26.85,,,,,,,,,,
Calc annual,30.29,26.85,16.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
