"LAIRIG NAN LUNN",,,,,,,,,,,,
Grid ref,NN447390,Long,-4.525733,Lat,56.517324,,,,,,,
Station no,5556/5/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.66,6.33,14.14,9.48,6.60,9.51,,
February,,,,,4.32,4.00,7.94,6.55,7.00,9.95,,
March,,,,,2.15,4.64,8.71,4.53,6.95,3.23,,
April,,,,,4.21,3.22,6.63,5.70,7.75,10.22,,
May,,,,,4.92,7.17,5.09,3.03,3.85,5.00,,
June,,,,,4.15,4.95,5.17,5.29,6.00,3.78,,
July,,,,,0.67,7.34,6.02,5.87,7.15,6.15,,
August,,,,,2.07,7.20,7.69,6.57,6.00,4.00,,
September,,,,,7.30,9.30,5.43,8.19,4.40,5.45,,
October,,,,,6.87,7.29,10.36,7.52,11.80,7.09,,
November,,,,,4.49,7.16,5.40,2.60,12.05,10.80,,
December,,,,,17.19,15.54,14.11,9.00,15.79,10.99,,
Total,,,,,64.00,84.14,96.69,74.33,95.34,86.17,,
Calc annual,0.00,0.00,0.00,0.00,64.00,84.14,96.69,74.33,95.34,86.17,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
