"TAYPORT LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NO447293,Long,-2.898777,Lat,56.452602,,,,,,,
Station no,5502,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,1.39,0.49,1.41,1.24,2.59,3.02,1.68,1.02,4.28,,
February,2.70,0.57,0.77,2.52,1.47,1.12,3.83,2.67,0.28,2.63,,
March,2.38,2.15,0.29,2.57,1.38,1.51,2.08,5.33,1.23,2.16,,
April,2.06,0.77,2.12,1.24,0.71,1.15,0.64,1.59,2.16,2.37,,
May,1.90,2.23,1.69,3.16,1.97,0.89,1.51,2.71,0.56,1.89,,
June,1.83,2.37,0.81,2.21,1.40,3.01,1.02,2.45,1.91,2.35,,
July,3.43,1.80,2.79,2.57,1.03,3.93,4.91,4.33,2.60,3.31,,
August,3.22,2.43,2.08,2.89,0.23,4.57,3.29,2.77,0.74,4.38,,
September,1.49,0.68,2.09,2.68,1.05,4.12,1.39,2.43,0.86,1.69,,
October,0.46,2.36,1.32,5.33,1.75,1.27,1.43,1.78,1.71,5.17,,
November,6.40,1.90,2.40,4.02,1.74,0.82,1.22,0.89,4.69,3.25,,
December,2.08,1.98,2.76,2.57,5.11,3.55,4.07,3.98,5.30,2.17,,
Total,31.20,20.63,19.61,33.17,19.08,28.53,28.41,32.61,23.06,35.65,,
Calc annual,31.20,20.63,19.61,33.17,19.08,28.53,28.41,32.61,23.06,35.65,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
