"GLENDEVON (GLENQUEY RES)",,,,,,,,,,,,
Grid ref,NN981028,Long,-3.644266,Lat,56.206844,,,,,,,
Station no,5528,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.04,2.77,2.00,4.74,2.31,4.20,8.35,,,,,
February,2.88,0.90,1.98,3.86,1.27,2.36,3.53,,,,,
March,3.04,6.06,2.44,3.23,1.40,2.90,5.23,,,,,
April,3.94,2.80,2.73,2.25,2.62,1.48,3.28,,,,,
May,2.03,1.78,2.75,6.50,4.77,3.82,3.48,,,,,
June,3.19,4.71,2.45,4.65,3.40,4.42,2.29,,,,,
July,6.36,3.02,9.24,3.82,1.50,6.09,6.38,,,,,
August,7.65,6.25,3.43,6.57,1.77,6.88,5.90,,,,,
September,5.48,3.73,7.55,6.87,4.14,5.68,2.90,,,,,
October,1.74,4.10,4.63,11.06,4.79,5.13,5.62,,,,,
November,10.45,2.63,9.84,9.47,2.32,1.09,3.03,,,,,
December,9.23,4.40,6.60,7.91,10.23,6.48,9.10,,,,,
Total,61.03,43.15,55.64,70.93,40.52,50.53,59.09,,,,,
Calc annual,61.03,43.15,55.64,70.93,40.52,50.53,59.09,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
