"BURNHAM (BERROW ROAD)",,,,,,,,,,,,
Grid ref,ST304506,Long,-2.998623,Lat,51.250304,,,,,,,
Station no,2024,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.34,0.45,1.90,3.72,2.85,2.70,1.31,2.55,2.21,,
February,3.78,0.80,1.58,2.97,2.39,0.02,3.26,-999.00,0.20,1.59,,
March,4.08,3.01,0.74,3.18,1.12,0.52,1.72,0.68,2.96,1.50,,
April,3.57,1.74,3.34,0.49,1.56,1.10,0.00,0.68,2.18,1.99,,
May,3.29,3.96,1.02,1.66,3.11,0.40,1.00,2.01,1.10,1.60,,
June,0.81,2.74,3.13,3.66,2.27,1.65,2.16,-999.00,1.40,1.28,,
July,2.03,0.53,4.69,3.44,0.50,2.51,3.17,-999.00,3.37,5.67,,
August,3.89,5.32,3.18,2.16,0.29,3.63,4.21,,2.34,3.28,,
September,2.90,3.53,3.61,4.33,3.04,2.55,2.79,,0.20,2.52,,
October,0.82,3.67,2.81,3.55,1.35,0.83,2.34,,3.27,3.65,,
November,6.83,3.42,2.12,5.86,2.60,0.72,1.63,,4.93,2.95,,
December,2.16,3.04,1.04,2.70,3.71,2.49,1.65,,5.12,3.53,,
Total,37.44,34.10,27.71,35.90,25.66,19.27,26.63,,29.62,31.77,,
Calc annual,37.44,34.10,27.71,35.90,25.66,19.27,26.63,4.68,29.62,31.77,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,0.00,0.00,,
