"FORTINGALL (GLENLYON HOUSE) NEW SITE",,,,,,,,,,,,
Grid ref,NN734472,Long,-4.063650,Lat,56.599549,,,,,,,
Station no,5558/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.22,2.91,4.03,,
February,,,,,,,,2.79,1.82,3.92,,
March,,,,,,,,1.94,2.23,2.72,,
April,,,,,,,,2.01,3.16,4.36,,
May,,,,,,,,4.01,1.21,3.37,,
June,,,,,,,,4.32,3.11,2.35,,
July,,,,,,,,4.40,4.00,2.36,,
August,,,,,,,,5.55,1.49,4.90,,
September,,,,,,,,5.10,1.11,3.22,,
October,,,,,,,4.12,4.07,6.03,5.58,,
November,,,,,,,1.74,1.81,7.03,4.82,,
December,,,,,,,9.02,6.30,10.88,5.95,,
Total,,,,,,,,45.52,44.98,47.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,14.88,45.52,44.98,47.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
