"ACHNASHEEN (DRUIMDHU)",,,,,,,,,,,,
Grid ref,NH188592,Long,-5.032815,Lat,57.586366,,,,,,,
Station no,5773/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.67,5.03,7.81,5.59,4.99,4.18,9.57,6.54,5.26,5.17,,
February,3.37,5.60,2.17,3.85,5.07,2.43,3.28,6.33,2.75,4.50,,
March,4.01,2.90,2.24,3.97,4.51,2.64,4.55,2.70,3.12,1.11,,
April,4.17,1.96,4.64,3.97,3.51,3.58,1.91,4.24,5.64,4.87,,
May,1.25,4.08,4.91,3.16,4.47,6.21,2.39,5.64,2.59,1.93,,
June,0.96,3.63,3.73,6.11,1.74,2.60,3.34,1.89,4.67,4.39,,
July,3.92,6.53,7.31,4.65,0.70,4.64,6.07,2.11,7.24,2.97,,
August,3.73,6.68,5.05,2.90,1.53,6.45,6.75,5.04,4.90,5.97,,
September,1.02,6.04,3.55,7.17,7.68,4.53,6.30,2.71,2.88,2.91,,
October,1.92,6.74,4.31,10.27,5.98,7.61,9.31,8.63,9.26,2.47,,
November,8.67,6.44,7.68,6.22,2.43,7.96,3.83,2.37,6.30,3.21,,
December,11.06,4.03,4.02,14.08,10.52,8.64,10.35,5.21,4.57,7.88,,
Total,46.75,59.66,57.42,71.94,53.13,61.47,67.65,53.41,59.18,47.38,,
Calc annual,46.75,59.66,57.42,71.94,53.13,61.47,67.65,53.41,59.18,47.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
