"WAREHAM (EAST HOLME)",,,,,,,,,,,,
Grid ref,SY895859,Long,-2.149953,Lat,50.672668,,,,,,,
Station no,1568,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.62,2.48,0.87,1.88,4.21,,,,,,,
February,7.26,0.81,1.87,3.32,2.59,,,,,,,
March,4.44,2.74,0.47,4.75,1.55,,,,,,,
April,2.99,1.77,2.47,0.10,0.72,,,,,,,
May,2.88,2.96,2.99,1.72,4.13,,,,,,,
June,0.29,0.92,2.34,2.67,2.40,,,,,,,
July,1.34,0.72,2.66,3.17,0.72,,,,,,,
August,4.82,2.26,1.92,3.36,0.84,,,,,,,
September,3.73,5.11,2.96,4.17,1.83,,,,,,,
October,1.07,5.18,3.77,3.30,5.11,,,,,,,
November,9.21,3.96,2.05,6.66,3.28,,,,,,,
December,3.08,2.31,0.77,4.44,6.13,,,,,,,
Total,44.73,31.22,25.14,39.54,33.51,,,,,,,
Calc annual,44.73,31.22,25.14,39.54,33.51,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
