"GALASHIELS (KNOWSDEAN RESERVOIR)",,,,,,,,,,,,
Grid ref,NT437393,Long,-2.896052,Lat,55.643969,,,,,,,
Station no,5066/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.50,4.25,0.85,3.80,2.95,2.48,4.46,2.89,1.73,4.02,,
February,2.55,0.65,1.20,2.70,2.70,2.90,3.90,3.66,0.50,4.20,,
March,2.75,1.85,0.45,2.40,1.85,2.00,2.26,2.36,1.72,2.38,,
April,3.50,1.80,2.75,1.15,0.60,0.87,1.03,1.82,2.99,2.06,,
May,2.75,2.35,2.40,5.50,2.60,1.06,2.68,2.20,0.73,1.98,,
June,1.35,2.15,2.45,2.80,1.05,2.74,1.91,3.46,3.40,0.89,,
July,3.10,1.95,4.05,3.15,1.90,4.95,3.62,5.84,2.55,2.93,,
August,4.75,3.55,2.80,5.25,0.80,8.63,6.66,3.12,0.66,3.37,,
September,1.90,2.00,3.00,4.45,1.60,2.64,2.14,1.87,0.93,1.96,,
October,0.35,3.55,1.75,5.45,2.45,2.61,2.35,1.99,3.30,5.40,,
November,7.55,3.65,3.25,5.50,1.70,1.22,1.59,0.66,5.35,3.68,,
December,3.15,3.95,2.00,4.25,6.35,3.80,3.59,4.35,4.33,3.70,,
Total,37.20,31.70,26.95,46.40,26.55,35.90,36.19,34.22,28.19,36.57,,
Calc annual,37.20,31.70,26.95,46.40,26.55,35.90,36.19,34.22,28.19,36.57,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
