"AILSA CRAIG",,,,,,,,,,,,
Grid ref,NX019997,Long,-5.118355,Lat,55.251573,,,,,,,
Station no,5276,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.93,2.33,2.21,3.59,2.16,4.01,2.99,3.39,1.41,3.03,,
February,2.20,0.50,1.25,2.15,3.61,0.71,2.01,3.16,1.03,2.28,,
March,1.70,0.90,0.50,2.73,0.85,1.09,1.99,1.13,1.83,1.51,,
April,1.94,1.24,1.71,1.20,3.70,0.72,0.16,1.70,2.84,2.55,,
May,0.54,1.21,1.40,1.52,0.86,1.58,0.69,2.55,2.13,1.52,,
June,0.86,2.01,1.13,3.29,4.91,1.34,1.46,2.54,2.89,1.99,,
July,1.21,0.39,3.96,3.48,0.00,3.00,3.27,3.27,2.45,2.48,,
August,1.66,5.25,3.21,3.77,0.35,6.05,2.53,3.34,0.64,3.97,,
September,0.80,2.23,4.89,3.86,3.54,3.42,3.04,1.71,1.78,2.59,,
October,0.09,3.80,2.87,6.30,2.15,2.34,3.41,2.52,4.64,1.82,,
November,2.02,2.23,4.32,5.45,2.01,1.61,1.87,1.59,2.74,2.29,,
December,2.98,3.50,3.35,5.44,4.09,2.93,2.13,4.32,4.62,1.09,,
Total,18.93,25.59,30.80,42.78,28.23,28.80,25.55,31.22,29.00,27.12,,
Calc annual,18.93,25.59,30.80,42.78,28.23,28.80,25.55,31.22,29.00,27.12,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
