"BOLTON W. W. (DELPH)",,,,,,,,,,,,
Grid ref,SD704156,Long,-2.449134,Lat,53.636076,,,,,,,
Station no,2874,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.29,5.68,2.66,5.56,3.68,7.15,4.57,4.90,3.72,8.47,,
February,4.00,2.44,2.15,4.13,3.64,1.32,4.00,9.57,1.04,4.05,,
March,6.09,3.09,3.18,3.54,2.38,2.18,4.54,2.71,2.41,1.65,,
April,3.05,4.72,3.97,1.16,3.95,3.55,1.00,2.04,4.06,3.32,,
May,2.64,3.05,2.99,3.41,5.33,2.21,2.63,5.75,2.16,2.78,,
June,1.66,5.13,3.05,4.77,4.13,3.10,2.98,-999.00,2.93,1.59,,
July,4.05,3.42,6.98,9.35,1.38,8.17,8.03,5.07,5.58,10.19,,
August,5.52,6.17,6.00,7.76,1.93,14.28,8.05,6.16,0.54,6.21,,
September,4.12,5.78,5.81,6.93,5.90,4.69,9.93,5.49,0.43,3.94,,
October,1.01,5.87,2.42,10.09,3.16,3.95,8.46,5.60,5.87,5.64,,
November,9.93,3.80,6.63,8.80,2.94,2.11,2.49,2.54,5.78,9.22,,
December,11.58,5.82,2.42,9.12,7.36,5.53,6.75,5.29,10.20,6.20,,
Total,59.94,54.97,48.26,74.62,45.68,58.24,63.43,59.95,44.72,63.26,,
Calc annual,59.94,54.97,48.26,74.62,45.78,58.24,63.43,55.12,44.72,63.26,,
Difference,0.00,0.00,-0.00,0.00,-0.10,0.00,0.00,4.83,0.00,0.00,,
