"LOGAN HOUSE",,,,,,,,,,,,
Grid ref,NX096426,Long,-4.959403,Lat,54.742190,,,,,,,
Station no,5003,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,4.33,1.53,4.19,3.63,3.40,,3.50,2.32,2.51,,
February,2.66,0.87,1.15,3.66,3.12,1.12,,1.07,,,,
March,3.61,2.00,0.65,3.97,1.72,1.50,,4.19,,,,
April,1.47,1.40,2.15,0.68,2.42,1.26,,0.68,,,,
May,2.47,2.20,2.79,1.97,3.32,1.11,,4.08,1.23,,,
June,1.30,2.26,1.01,2.94,4.17,2.71,,2.50,,,,
July,2.58,2.05,6.30,3.91,1.55,3.81,,5.54,,,,
August,3.99,5.99,2.87,4.51,1.59,7.45,,7.18,,,,
September,3.33,2.60,5.04,5.03,2.80,3.74,,3.44,2.29,,,
October,0.69,4.14,4.92,7.04,3.12,2.96,,4.51,6.23,,,
November,7.36,3.77,-999.00,7.38,3.50,1.79,,7.35,5.62,,,
December,5.43,3.89,3.99,5.15,5.19,3.21,,4.31,2.63,,,
Total,39.00,35.50,37.17,50.43,36.13,34.06,,48.35,,,,
Calc annual,39.00,35.50,32.40,50.43,36.13,34.06,0.00,48.35,20.32,2.51,,
Difference,-0.00,0.00,4.77,0.00,0.00,0.00,NaN,0.00,NaN,NaN,,
