"BRIDGETOWN",,,,,,,,,,,,
Grid ref,SS923332,Long,-3.539134,Lat,51.087971,,,,,,,
Station no,2112/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.04,2.98,5.27,,,,,,,
February,,,3.22,5.62,4.72,,,,,,,
March,,,2.18,4.95,1.60,,,,,,,
April,,,3.85,1.40,2.21,,,,,,,
May,,,2.88,3.80,6.13,,,,,,,
June,,,2.12,3.61,4.62,,,,,,,
July,,,6.08,5.07,3.00,,,,,,,
August,,,4.91,4.84,0.62,,,,,,,
September,,,6.18,6.62,3.14,,,,,,,
October,,,3.73,6.13,2.82,,,,,,,
November,,,4.32,11.08,4.70,,,,,,,
December,,,1.98,6.37,8.97,,,,,,,
Total,,,42.49,62.47,47.80,,,,,,,
Calc annual,0.00,0.00,42.49,62.47,47.80,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
