"CHRYSTON (SCHOOLHOUSE)",,,,,,,,,,,,
Grid ref,NS684699,Long,-4.106545,Lat,55.904162,,,,,,,
Station no,5185/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.77,2.73,1.61,,,,,,,,,
February,2.78,1.81,,,,,,,,,,
March,3.45,2.40,,,,,,,,,,
April,2.37,2.19,,,,,,,,,,
May,1.78,2.44,,,,,,,,,,
June,3.09,2.50,,,,,,,,,,
July,2.55,2.75,,,,,,,,,,
August,3.30,3.38,,,,,,,,,,
September,2.32,2.68,,,,,,,,,,
October,0.87,3.43,,,,,,,,,,
November,5.99,2.37,,,,,,,,,,
December,5.30,3.50,,,,,,,,,,
Total,39.57,32.18,,,,,,,,,,
Calc annual,39.57,32.18,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
