"REIGATE (WRAY PARK ROAD)",,,,,,,,,,,,
Grid ref,TQ262511,Long,-0.193328,Lat,51.245122,,,,,,,
Station no,120,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,2.44,1.67,1.60,3.61,4.66,2.44,3.06,3.45,3.16,,
February,6.78,0.90,1.54,2.32,1.76,0.39,4.40,2.58,0.11,2.31,,
March,3.73,3.39,0.42,2.61,1.51,0.91,1.50,1.90,2.27,1.93,,
April,3.25,1.67,2.53,0.44,0.37,2.08,0.24,1.05,2.68,0.87,,
May,2.67,1.67,1.84,2.58,4.04,0.29,1.46,2.45,0.87,1.51,,
June,1.29,1.74,1.88,5.12,2.05,3.08,1.08,3.72,1.92,1.46,,
July,2.59,0.78,3.88,3.47,1.83,4.08,4.09,1.75,0.89,3.34,,
August,4.64,2.97,1.73,2.98,1.32,2.79,2.79,3.22,1.13,3.12,,
September,3.14,2.66,3.54,2.08,1.92,2.91,2.79,6.56,0.13,3.35,,
October,1.07,3.43,4.17,2.56,4.67,1.28,1.92,3.60,3.21,6.72,,
November,7.16,3.45,1.79,5.77,1.40,0.96,2.97,2.33,3.31,5.39,,
December,3.07,2.86,0.67,1.99,2.86,4.19,2.32,3.78,5.34,3.51,,
Total,43.19,27.96,25.66,33.52,27.34,27.62,28.00,36.00,25.31,36.67,,
Calc annual,43.19,27.96,25.66,33.52,27.34,27.62,28.00,36.00,25.31,36.67,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
