"KIRRIEMUIR (BARNEY)",,,,,,,,,,,,
Grid ref,NO251634,Long,-3.226582,Lat,56.756170,,,,,,,
Station no,5585,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.00,2.90,1.20,2.70,2.30,3.10,5.60,4.30,2.50,4.50,,
February,5.50,1.80,1.70,4.70,2.30,2.20,4.90,2.90,0.60,7.50,,
March,1.60,5.60,0.90,5.00,2.00,3.30,3.40,3.60,4.20,4.00,,
April,2.50,1.90,2.50,1.40,1.10,0.90,1.40,0.90,3.80,4.20,,
May,2.10,4.30,2.90,5.70,2.60,1.20,2.50,3.90,1.40,3.40,,
June,2.60,2.70,2.60,2.20,1.80,2.50,1.90,4.00,3.10,2.70,,
July,3.90,3.30,4.00,3.10,0.90,5.10,5.50,4.00,5.30,4.10,,
August,6.70,3.20,2.50,2.40,0.90,6.50,4.20,3.90,1.80,7.20,,
September,3.20,1.00,4.80,3.70,1.90,5.20,2.50,4.40,1.30,4.34,,
October,1.00,6.00,4.00,7.80,3.00,4.00,1.90,4.30,5.70,9.60,,
November,15.50,2.50,3.80,10.20,2.90,1.16,1.80,1.00,8.50,6.00,,
December,4.40,3.00,4.80,4.70,8.30,9.30,5.20,6.70,11.90,4.30,,
Total,53.00,38.20,35.70,53.60,30.00,44.46,40.80,43.90,50.10,61.84,,
Calc annual,53.00,38.20,35.70,53.60,30.00,44.46,40.80,43.90,50.10,61.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
