"CAXTON (ST. PETERS ST.)",,,,,,,,,,,,
Grid ref,TL303582,Long,-0.094577,Lat,52.206628,,,,,,,
Station no,1206,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,1.27,,,,,,,,,,
February,2.03,0.51,,,,,,,,,,
March,2.59,2.53,,,,,,,,,,
April,2.54,1.42,,,,,,,,,,
May,2.09,2.01,,,,,,,,,,
June,1.21,1.58,,,,,,,,,,
July,1.17,0.53,,,,,,,,,,
August,3.65,3.80,,,,,,,,,,
September,1.16,1.72,,,,,,,,,,
October,0.71,1.81,,,,,,,,,,
November,2.88,2.56,,,,,,,,,,
December,0.85,1.43,,,,,,,,,,
Total,23.01,21.17,,,,,,,,,,
Calc annual,23.01,21.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
