"DAYBROOK (RAMSDALE HILL RESERVOIR)",,,,,,,,,,,,
Grid ref,SK596483,Long,-1.112788,Lat,53.028676,,,,,,,
Station no,2616,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,2.03,0.87,1.79,2.50,3.58,1.86,3.06,3.47,4.53,,
February,3.03,0.67,1.67,2.42,2.07,0.71,2.97,4.06,0.24,2.44,,
March,3.43,2.38,0.99,1.92,2.67,0.75,2.53,1.73,1.52,1.62,,
April,1.79,1.76,2.33,0.39,1.24,1.75,0.35,0.92,2.89,1.15,,
May,3.44,2.53,2.11,2.91,3.76,0.62,1.33,2.27,0.77,1.17,,
June,1.71,2.96,1.99,3.29,3.77,3.93,1.85,4.61,1.04,1.38,,
July,1.28,1.07,2.23,2.06,0.91,3.58,2.90,4.25,1.70,2.98,,
August,5.56,2.93,1.90,5.37,0.45,6.43,4.42,3.10,0.73,4.55,,
September,1.29,1.68,1.31,2.92,0.65,2.45,6.24,2.46,0.18,4.12,,
October,0.93,3.25,2.62,3.34,1.60,1.39,1.19,2.17,2.10,6.34,,
November,6.11,1.79,1.57,4.89,1.70,0.75,2.27,1.12,2.20,3.47,,
December,1.79,2.15,0.80,2.05,2.11,2.57,2.05,3.43,3.72,3.62,,
Total,32.37,25.20,20.39,33.35,23.43,28.51,29.96,33.18,20.56,37.37,,
Calc annual,32.37,25.20,20.39,33.35,23.43,28.51,29.96,33.18,20.56,37.37,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
