"GLEN MUICK (ALLT NA GUIBHSAICH)",,,,,,,,,,,,
Grid ref,NO300858,Long,-3.152634,Lat,56.958120,,,,,,,
Station no,5626,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.60,2.62,1.20,3.43,2.82,4.98,5.17,4.65,4.38,5.00,,
February,5.43,1.07,1.52,4.45,6.40,2.65,4.73,4.79,0.50,6.08,,
March,2.73,4.80,0.66,3.53,3.98,2.34,3.26,4.26,3.21,2.04,,
April,4.51,2.08,3.98,1.86,0.90,1.83,1.89,2.92,4.05,4.12,,
May,2.50,3.39,3.77,6.66,3.70,1.20,2.17,3.41,1.27,2.06,,
June,1.96,3.30,6.32,1.78,1.07,3.37,3.15,2.68,2.11,1.45,,
July,2.98,2.29,4.49,2.62,0.86,5.01,6.14,6.02,3.90,4.08,,
August,7.56,3.01,2.01,3.03,0.73,5.69,4.78,4.09,1.39,6.12,,
September,2.69,2.42,4.30,3.32,1.75,5.06,2.76,4.27,0.70,3.70,,
October,1.23,7.34,3.29,6.25,3.03,2.94,1.80,2.85,5.27,9.60,,
November,12.58,3.39,4.49,10.93,2.42,2.15,3.29,1.05,8.84,5.61,,
December,4.87,4.30,5.50,7.97,7.92,9.52,6.45,5.29,9.84,3.00,,
Total,53.64,40.01,41.53,55.83,35.58,46.74,45.59,46.28,45.46,52.86,,
Calc annual,53.64,40.01,41.53,55.83,35.58,46.74,45.59,46.28,45.46,52.86,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
