"BILSTON (THE LUNT OUTFALL)",,,,,,,,,,,,
Grid ref,SO963958,Long,-2.056010,Lat,52.560022,,,,,,,
Station no,2333,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,2.32,1.24,1.48,,3.12,1.32,1.94,3.16,5.95,,
February,2.27,0.47,1.71,3.90,,0.36,2.86,4.04,0.24,2.04,,
March,4.56,1.75,1.18,2.50,,1.11,2.57,1.25,2.37,1.88,,
April,2.19,1.88,3.09,0.57,,1.65,0.15,0.92,2.06,1.04,,
May,2.97,3.69,1.73,3.20,,0.62,1.36,2.17,0.47,1.28,,
June,0.98,2.16,2.99,4.17,,1.43,1.12,3.92,1.37,2.33,,
July,0.63,1.27,4.06,3.93,,2.33,4.61,4.31,1.92,3.66,,
August,5.63,3.29,2.88,7.33,,5.03,3.61,1.99,2.93,2.93,,
September,2.24,1.42,3.28,2.24,1.76,2.72,4.02,3.82,0.16,5.43,,
October,1.07,3.95,2.58,3.82,1.80,1.70,1.71,2.39,3.04,4.44,,
November,7.05,2.50,2.13,6.40,2.68,0.79,2.15,1.90,3.90,4.05,,
December,2.53,3.00,1.35,3.10,1.94,3.11,1.65,3.02,4.76,2.22,,
Total,34.43,27.70,28.22,42.64,,23.97,27.13,31.67,26.38,37.25,,
Calc annual,34.43,27.70,28.22,42.64,8.18,23.97,27.13,31.67,26.38,37.25,,
Difference,0.00,0.00,-0.00,0.00,NaN,0.00,0.00,0.00,-0.00,0.00,,
