"THIRLMERE (DALE HEAD HALL)",,,,,,,,,,,,
Grid ref,NY313175,Long,-3.063563,Lat,54.548069,,,,,,,
Station no,3638,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.99,7.41,4.19,7.45,7.19,5.71,15.34,8.69,6.54,11.06,,
February,10.52,2.09,3.69,7.45,3.69,1.59,10.08,11.60,2.48,11.47,,
March,8.84,5.60,1.28,6.99,2.75,3.99,6.82,2.07,8.29,3.20,,
April,7.08,5.48,6.67,1.83,3.09,1.85,1.95,2.94,7.68,8.27,,
May,4.38,4.68,4.64,7.47,6.98,3.91,4.19,7.83,2.20,3.55,,
June,2.32,4.06,3.83,6.66,5.35,4.30,2.40,5.75,5.38,4.22,,
July,4.58,5.03,9.89,8.02,3.61,7.98,5.91,4.68,6.74,8.08,,
August,9.84,11.01,9.01,6.99,4.13,12.51,9.46,7.04,1.34,5.33,,
September,13.55,8.89,13.07,14.12,5.23,6.11,8.92,11.23,1.29,5.43,,
October,1.74,9.53,5.91,18.04,6.02,7.11,10.52,8.26,11.63,6.24,,
November,22.38,5.24,15.09,22.27,4.25,3.72,4.62,1.98,14.22,18.59,,
December,17.96,7.07,5.84,13.76,11.45,14.12,11.05,8.83,19.55,10.19,,
Total,112.18,76.09,83.11,121.05,63.74,72.90,91.26,80.90,87.34,95.63,,
Calc annual,112.18,76.09,83.11,121.05,63.74,72.90,91.26,80.90,87.34,95.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
