"TAF FECHAN PENTWYN RESERVOIR S",,,,,,,,,,,,
Grid ref,ZZ999999,Long,NaN,Lat,NaN,,,,,,,
Station no,4152,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.17,7.51,2.38,4.35,6.41,9.79,10.11,6.97,9.81,9.17,,
February,8.65,1.68,3.51,6.59,3.12,0.89,8.85,10.06,0.66,8.57,,
March,8.01,5.04,5.67,5.66,4.08,3.62,8.45,2.14,7.85,3.62,,
April,6.74,5.50,5.06,1.90,3.45,2.68,0.43,2.07,7.96,6.21,,
May,4.14,8.60,4.65,4.79,7.43,1.74,3.44,6.15,2.85,2.18,,
June,2.06,5.40,2.35,7.81,9.00,3.77,1.26,4.49,2.16,4.21,,
July,2.47,3.22,9.26,6.16,0.82,7.37,7.14,5.22,6.48,8.19,,
August,10.29,10.22,6.97,8.04,2.14,7.86,5.60,6.08,1.78,5.59,,
September,6.00,5.01,6.90,9.19,3.92,7.72,10.43,12.17,0.45,6.89,,
October,2.12,8.19,4.60,15.54,4.14,2.87,6.77,8.02,7.51,11.69,,
November,14.67,4.88,6.58,15.49,6.45,2.34,3.51,3.62,11.57,17.19,,
December,8.79,7.09,2.33,7.93,11.04,9.08,7.71,7.29,17.90,9.89,,
Total,83.11,72.34,60.26,93.45,62.00,59.73,73.70,74.28,76.98,93.40,,
Calc annual,83.11,72.34,60.26,93.45,62.00,59.73,73.70,74.28,76.98,93.40,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
