"ROCHDALE (ASHWORTH MOOR RES.)",,,,,,,,,,,,
Grid ref,SD831158,Long,-2.257078,Lat,53.638440,,,,,,,
Station no,2863,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.60,4.58,2.04,4.86,2.66,,,,,,,
February,2.93,1.41,1.95,3.51,1.74,,,,,,,
March,4.91,3.15,2.19,3.21,1.85,,,,,,,
April,2.49,4.11,3.51,0.90,2.66,,,,,,,
May,1.86,2.68,2.67,3.95,3.99,,,,,,,
June,1.72,4.20,3.64,4.27,4.18,,,,,,,
July,3.53,2.79,6.61,6.62,1.25,,,,,,,
August,5.78,5.52,6.23,7.44,1.25,,,,,,,
September,3.95,3.55,4.84,5.52,3.81,,,,,,,
October,1.22,5.32,2.24,9.84,2.50,,,,,,,
November,9.19,2.78,5.21,6.71,2.55,,,,,,,
December,8.11,4.54,2.13,6.76,6.07,,,,,,,
Total,50.29,44.63,43.26,63.59,34.51,,,,,,,
Calc annual,50.29,44.63,43.26,63.59,34.51,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
