"COLKIRK HALL",,,,,,,,,,,,
Grid ref,TF925266,Long,0.854194,Lat,52.802594,,,,,,,
Station no,1426/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.56,2.34,1.34,1.51,1.94,3.32,1.88,2.52,3.62,3.64,,
February,3.10,0.85,1.32,1.77,3.13,2.07,3.13,3.67,0.22,1.67,,
March,3.56,2.24,1.39,2.34,1.78,0.82,2.38,1.09,1.11,1.02,,
April,3.50,1.72,2.54,0.35,0.59,0.97,0.45,1.10,2.04,0.88,,
May,2.91,2.19,1.56,2.06,2.87,0.66,1.60,2.97,1.43,0.54,,
June,1.04,0.52,4.26,2.02,2.47,2.67,2.89,2.47,1.55,0.89,,
July,2.40,0.98,2.42,2.90,0.28,3.12,4.52,3.86,3.34,3.14,,
August,3.72,2.58,2.45,4.60,0.99,4.63,2.48,2.70,1.57,2.95,,
September,1.96,3.60,1.20,2.80,2.27,1.71,4.02,2.99,0.05,4.62,,
October,0.91,1.95,2.47,2.76,3.73,3.23,1.34,2.47,2.12,3.67,,
November,3.15,4.12,1.43,4.53,1.07,1.39,1.98,1.37,1.85,3.82,,
December,1.34,2.55,1.05,2.09,1.43,1.40,2.51,3.32,3.91,4.01,,
Total,31.15,25.64,23.43,29.73,22.55,25.99,29.18,30.53,22.81,30.85,,
Calc annual,31.15,25.64,23.43,29.73,22.55,25.99,29.18,30.53,22.81,30.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
