"GLENDEVON (FRANDY) NO.2",,,,,,,,,,,,
Grid ref,NN942043,Long,-3.707704,Lat,56.219463,,,,,,,
Station no,5530,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.66,2.85,2.06,5.13,2.89,4.15,9.11,5.77,2.36,5.87,,
February,4.05,1.06,2.54,4.77,1.57,2.29,4.44,3.24,2.88,7.04,,
March,3.53,5.78,2.80,4.87,1.64,3.40,5.80,2.66,5.66,3.45,,
April,5.54,3.16,3.33,2.35,4.03,1.49,2.98,2.51,5.03,5.23,,
May,2.23,1.83,3.29,7.71,5.19,3.53,3.75,5.11,1.04,3.84,,
June,3.51,5.01,2.56,4.42,3.14,4.96,2.08,3.86,2.95,3.64,,
July,6.65,3.03,7.28,3.21,1.65,6.21,6.30,5.82,6.49,5.47,,
August,8.31,6.58,3.77,5.06,1.96,7.92,5.92,6.22,2.29,4.85,,
September,6.00,4.52,6.58,8.19,3.55,7.14,3.17,7.07,1.10,3.84,,
October,1.34,5.62,4.77,10.92,5.17,4.81,4.93,4.36,6.06,7.32,,
November,9.28,2.50,9.42,12.46,2.86,1.13,3.48,2.38,9.98,8.41,,
December,10.61,5.25,7.47,8.75,11.16,7.60,10.29,11.28,13.25,7.59,,
Total,66.71,47.19,55.87,77.84,44.81,54.63,62.25,60.28,59.09,66.55,,
Calc annual,66.71,47.19,55.87,77.84,44.81,54.63,62.25,60.28,59.09,66.55,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
