"WINCHESTER CHRISTCHURCH ROAD",,,,,,,,,,,,
Grid ref,SU477492,Long,-1.318087,Lat,51.239992,,,,,,,
Station no,721/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,2.44,0.92,,,,,,,,,
February,6.48,0.78,1.98,,,,,,,,,
March,4.36,3.28,0.74,,,,,,,,,
April,3.00,1.80,2.79,,,,,,,,,
May,3.17,3.26,2.45,,,,,,,,,
June,1.30,1.42,1.98,,,,,,,,,
July,2.19,0.32,3.69,,,,,,,,,
August,4.45,3.48,2.40,,,,,,,,,
September,4.27,2.67,2.90,,,,,,,,,
October,0.68,4.62,4.30,,,,,,,,,
November,8.38,3.70,1.48,,,,,,,,,
December,2.72,2.84,0.94,,,,,,,,,
Total,44.31,30.61,26.57,,,,,,,,,
Calc annual,44.31,30.61,26.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
