"HUNCOAT (BURNLEY ROAD RESERVOIR)",,,,,,,,,,,,
Grid ref,SD774296,Long,-2.344297,Lat,53.762258,,,,,,,
Station no,2962,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.86,5.82,1.45,4.67,2.22,4.56,3.96,5.29,2.94,,,
February,4.32,1.48,1.59,2.98,2.64,1.15,4.02,7.26,0.58,,,
March,5.31,1.79,2.12,2.33,2.32,1.59,3.65,2.52,2.15,,,
April,2.56,3.44,4.09,0.93,3.01,3.09,0.57,1.37,3.49,,,
May,1.90,2.85,2.24,2.97,3.98,1.79,1.79,5.41,1.71,,,
June,1.68,3.59,2.36,2.96,3.22,2.89,2.30,4.63,3.15,,,
July,3.76,2.47,5.23,5.71,0.95,5.35,5.54,4.12,3.95,,,
August,5.34,6.87,5.30,6.71,0.95,11.78,7.52,4.24,0.67,,,
September,2.96,4.25,5.26,6.13,3.46,3.67,6.40,4.79,0.39,,,
October,1.13,4.65,2.37,8.17,3.61,2.66,5.45,4.82,5.48,,,
November,8.95,2.16,6.02,7.44,3.19,2.36,2.35,1.64,5.68,,,
December,10.79,4.35,2.19,7.18,6.18,5.84,6.12,4.76,9.27,,,
Total,53.56,43.72,40.22,58.18,35.73,46.73,49.67,50.85,39.46,,,
Calc annual,53.56,43.72,40.22,58.18,35.73,46.73,49.67,50.85,39.46,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,NaN,,
