"COIRE CAS JEAN'S HUT",,,,,,,,,,,,
Grid ref,NH994054,Long,-3.663436,Lat,57.128469,,,,,,,
Station no,5693/3/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.65,2.75,4.15,4.50,5.40,,,,,
February,,,2.08,3.00,5.75,4.50,4.31,,,,,
March,,,0.74,2.34,2.50,1.75,4.00,,,,,
April,,,3.85,2.00,0.50,2.70,1.69,,,,,
May,,,3.48,6.60,5.25,1.50,2.17,,,,,
June,,,6.47,2.70,0.75,6.50,3.52,,,,,
July,,,5.20,3.30,0.90,5.00,6.42,,,,,
August,,,2.52,4.50,2.00,8.00,6.62,,,,,
September,,,3.30,5.50,3.25,5.00,2.81,,,,,
October,3.10,,2.27,8.50,6.00,4.06,3.70,,,,,
November,13.46,,4.72,6.00,3.50,2.30,4.56,,,,,
December,1.65,,5.82,11.50,7.50,8.60,3.05,,,,,
Total,,45.49,42.10,58.69,42.05,54.41,48.25,,,,,
Calc annual,18.21,0.00,42.10,58.69,42.05,54.41,48.25,0.00,0.00,0.00,,
Difference,NaN,45.49,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
