"CULTRA (NACOMA)",,,,,,,,,,,,
Grid ref,NW554347,Long,-5.792954,Lat,54.647908,,,,,,,
Station no,6206/1/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.70,1.11,,,,,,,,,
February,,0.60,1.19,,,,,,,,,
March,,1.35,0.26,,,,,,,,,
April,,1.96,1.90,,,,,,,,,
May,,1.29,1.95,,,,,,,,,
June,,2.77,1.78,,,,,,,,,
July,3.06,1.65,4.24,,,,,,,,,
August,3.95,4.94,2.91,,,,,,,,,
September,2.76,1.35,2.43,,,,,,,,,
October,0.65,3.80,,,,,,,,,,
November,6.67,2.96,,,,,,,,,,
December,4.59,4.55,,,,,,,,,,
Total,,30.92,,,,,,,,,,
Calc annual,21.68,30.92,17.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
