"MAPLE CROSS (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ037922,Long,-0.503533,Lat,51.619081,,,,,,,
Station no,897/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.89,2.58,3.69,1.58,2.99,2.79,2.02,,
February,,,,1.95,1.58,0.14,3.68,2.47,0.06,2.31,,
March,,,,2.50,1.15,0.87,1.50,1.20,2.41,1.39,,
April,,,,0.38,0.53,1.12,0.15,1.30,2.45,0.62,,
May,,,,2.90,4.67,0.14,0.82,2.66,0.60,2.14,,
June,,,,4.59,2.45,2.20,1.32,3.86,1.07,2.56,,
July,,,,2.74,0.25,5.52,3.30,3.38,3.32,3.33,,
August,,,,2.69,0.86,4.08,2.32,3.19,1.49,2.84,,
September,,,,2.12,1.96,2.46,3.19,5.24,0.03,4.17,,
October,,,,2.28,3.56,2.18,1.96,3.36,1.98,6.22,,
November,,,,4.70,2.40,0.44,2.34,2.26,2.19,4.18,,
December,,,,1.93,2.54,4.00,1.69,3.35,3.84,3.26,,
Total,,,,29.67,24.53,26.84,23.85,35.26,22.23,35.04,,
Calc annual,0.00,0.00,0.00,29.67,24.53,26.84,23.85,35.26,22.23,35.04,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
