"LAIRG DAM",,,,,,,,,,,,
Grid ref,NC577071,Long,-4.411358,Lat,58.030167,,,,,,,
Station no,5799/05,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.48,5.64,4.81,,
February,,,,,,,,3.77,1.13,3.08,,
March,,,,,,,,2.15,1.24,0.82,,
April,,,,,,,,1.67,2.47,2.43,,
May,,,,,,,,5.04,1.48,1.35,,
June,,,,,,,,2.64,2.30,2.65,,
July,,,,,,,,2.04,3.22,2.04,,
August,,,,,,,,3.87,2.40,5.33,,
September,,,,,,,,2.31,1.60,1.63,,
October,,,,,,,,4.24,5.16,3.62,,
November,,,,,,,,1.18,4.86,3.14,,
December,,,,,,,,4.67,3.55,3.88,,
Total,,,,,,,,37.06,35.05,34.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.06,35.05,34.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
