"ELHAM (OTTINGE)",,,,,,,,,,,,
Grid ref,TR168422,Long,1.097709,Lat,51.138007,,,,,,,
Station no,275/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.93,3.34,1.53,2.54,5.09,6.63,3.03,4.72,3.23,,,
February,6.76,1.99,2.92,3.39,2.92,2.07,5.04,3.81,0.12,,,
March,3.88,4.74,0.24,4.81,2.35,0.83,1.36,2.18,2.06,,,
April,2.42,1.45,1.87,0.43,0.30,1.08,0.62,1.84,3.66,,,
May,2.45,1.87,1.86,2.17,4.99,0.59,1.61,2.38,1.01,,,
June,2.03,1.01,2.59,3.31,1.88,3.63,0.64,4.86,1.64,,,
July,1.86,1.12,2.76,4.99,1.65,2.77,5.21,3.24,1.82,,,
August,5.46,4.42,2.60,4.36,2.27,3.43,2.97,4.85,1.69,,,
September,4.52,5.57,5.05,2.52,1.55,2.52,4.17,3.66,0.25,,,
October,3.43,4.05,3.65,3.10,5.60,2.58,1.58,4.72,4.47,,,
November,5.36,4.22,2.05,6.42,1.92,1.07,5.23,3.06,7.04,,,
December,3.19,4.79,1.23,2.19,3.13,4.03,2.32,5.07,8.86,,,
Total,45.29,38.57,28.35,40.23,33.65,31.23,33.78,44.39,35.85,,,
Calc annual,45.29,38.57,28.35,40.23,33.65,31.23,33.78,44.39,35.85,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,,
