"UPPER MISGEACH",,,,,,,,,,,,
Grid ref,NH173379,Long,-5.041924,Lat,57.394705,,,,,,,
Station no,5713/905,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,6.62,20.29,,
February,,,,,,,,,4.50,3.90,,
March,,,,,,,,,5.30,1.05,,
April,,,,,,,,,6.80,7.88,,
May,,,,,,,,,3.76,1.85,,
June,,,,,,,,,6.52,4.58,,
July,,,,,,,,,7.80,3.72,,
August,,,,,,,,,6.76,4.77,,
September,,,,,,,,,2.50,2.75,,
October,,,,,,,,,10.10,3.12,,
November,,,,,,,,,9.10,4.71,,
December,,,,,,,,,8.60,11.00,,
Total,,,,,,,,,78.36,69.62,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.36,69.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
