"OAKHAM SCHOOL",,,,,,,,,,,,
Grid ref,SK858087,Long,-0.732631,Lat,52.669230,,,,,,,
Station no,2523/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,1.62,,1.61,,3.44,1.20,,,6.69,,
February,3.82,0.31,,2.28,,0.94,2.67,,,2.07,,
March,3.31,2.16,,2.27,,0.66,2.11,,,0.89,,
April,2.17,1.63,,0.29,,0.85,0.57,,,1.82,,
May,3.23,1.70,,3.47,,0.76,1.30,,,0.68,,
June,1.50,1.32,,3.56,,4.21,1.53,,,1.77,,
July,1.25,0.31,,2.11,,2.14,3.69,,,2.03,,
August,3.33,2.47,,3.00,,3.93,4.20,,,3.91,,
September,0.94,1.60,,2.38,,1.70,5.28,,,2.80,,
October,0.77,3.24,,3.18,,1.01,1.26,,1.86,6.84,,
November,5.45,2.48,,4.73,,1.18,2.19,,2.20,4.55,,
December,1.58,1.44,,2.87,,2.46,2.55,,6.89,4.51,,
Total,29.65,20.28,,31.75,,23.28,28.55,,,38.56,,
Calc annual,29.65,20.28,0.00,31.75,0.00,23.28,28.55,0.00,10.95,38.56,,
Difference,0.00,0.00,NaN,0.00,NaN,0.00,-0.00,NaN,NaN,0.00,,
