"BIRMINGHAM W.W. (ESGAIR GARTHEN)",,,,,,,,,,,,
Grid ref,SN842643,Long,-3.698260,Lat,52.264631,,,,,,,
Station no,4218,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.25,10.00,4.30,6.10,6.00,10.10,8.50,8.00,10.20,12.50,,
February,8.20,6.95,4.35,7.10,4.10,1.90,7.10,12.00,1.00,10.35,,
March,8.35,4.30,6.30,7.10,5.50,5.00,7.00,2.10,5.60,3.10,,
April,8.15,3.50,5.10,2.50,5.50,3.30,0.90,3.00,7.90,6.00,,
May,3.50,4.50,4.70,4.50,7.20,2.00,3.50,4.60,1.90,2.50,,
June,1.70,5.00,2.60,8.50,8.20,4.20,3.10,5.40,3.95,4.00,,
July,3.25,3.50,8.20,9.00,1.10,5.25,10.50,6.00,6.00,7.15,,
August,7.60,7.00,6.10,7.10,1.50,11.00,12.00,4.60,0.85,6.00,,
September,5.70,5.50,7.30,9.10,6.05,8.10,15.10,9.60,0.65,6.80,,
October,2.15,8.00,5.00,14.00,6.00,5.25,8.20,8.00,11.50,8.25,,
November,14.75,5.20,8.10,13.00,5.00,5.50,4.30,5.00,9.90,13.00,,
December,10.40,8.70,3.00,11.00,9.20,9.50,8.50,6.50,14.60,11.50,,
Total,83.00,72.15,65.05,99.00,65.35,71.10,88.70,74.80,74.05,91.15,,
Calc annual,83.00,72.15,65.05,99.00,65.35,71.10,88.70,74.80,74.05,91.15,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
