"HOLYWOOD (WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ409780,Long,-5.818603,Lat,54.630645,,,,,,,
Station no,6206/1/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.91,2.86,4.33,4.43,4.04,4.05,,,,
February,,,1.05,3.63,2.48,1.12,2.42,4.62,,,,
March,,,0.22,4.19,1.83,1.80,3.35,2.17,,,,
April,,,1.61,0.62,2.30,0.73,1.44,,,,,
May,,,2.11,3.60,2.86,1.04,2.86,,,,,
June,,,1.89,2.78,5.59,2.65,1.09,,,,,
July,,,5.07,3.41,1.56,3.91,4.67,,,,,
August,,,2.54,3.35,1.68,7.44,4.04,,,,,
September,,,2.96,4.37,3.20,3.85,4.87,,,,,
October,,,2.74,5.80,2.73,1.82,3.84,,,,,
November,,,3.53,7.09,3.58,1.58,2.00,,,,,
December,,,3.44,4.45,6.25,5.03,5.54,,,,,
Total,,,28.07,46.15,38.39,35.40,40.16,,,,,
Calc annual,0.00,0.00,28.07,46.15,38.39,35.40,40.16,10.84,0.00,0.00,,
Difference,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
