"BUXTON (GOYTSHEAD)",,,,,,,,,,,,
Grid ref,SK012748,Long,-1.983467,Lat,53.270188,,,,,,,
Station no,2643/2/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.05,6.60,2.90,5.07,3.54,8.28,3.46,5.34,4.86,6.90,,
February,6.10,3.10,2.93,4.10,3.08,1.60,3.84,8.73,1.00,3.89,,
March,8.29,3.65,3.52,3.71,3.55,2.54,4.51,2.68,2.55,2.01,,
April,3.96,4.73,4.65,1.01,3.44,2.71,0.56,2.19,3.54,2.81,,
May,2.51,2.21,2.42,3.76,5.14,1.62,2.72,5.33,0.96,2.07,,
June,2.51,3.52,4.38,4.00,3.81,4.31,2.23,7.81,1.96,2.61,,
July,3.34,5.29,5.89,7.30,2.38,7.96,6.76,6.31,4.17,8.06,,
August,6.75,2.96,6.00,6.00,0.85,12.60,7.10,5.10,0.80,4.54,,
September,3.01,5.22,3.73,5.76,3.42,4.46,11.17,6.35,0.32,4.21,,
October,1.47,5.16,2.57,8.27,3.62,3.24,4.87,5.29,4.41,6.24,,
November,12.44,3.72,3.16,7.96,2.86,2.14,2.38,1.99,5.86,6.54,,
December,7.05,5.11,2.43,8.58,5.53,6.82,6.41,5.03,8.75,5.20,,
Total,63.48,51.27,44.58,65.52,41.22,58.28,56.01,62.15,39.18,55.08,,
Calc annual,63.48,51.27,44.58,65.52,41.22,58.28,56.01,62.15,39.18,55.08,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,,
