"CONGLETON (EATON HALL)",,,,,,,,,,,,
Grid ref,SJ861657,Long,-2.209478,Lat,53.188207,,,,,,,
Station no,2770/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,3.72,1.46,2.50,,,,,,,,
February,2.80,1.61,1.40,,,,,,,,,
March,4.86,2.21,1.56,,,,,,,,,
April,2.93,3.46,2.68,,,,,,,,,
May,2.29,2.47,1.95,,,,,,,,,
June,1.77,2.56,2.89,,,,,,,,,
July,2.33,1.65,4.12,,,,,,,,,
August,5.01,1.35,3.87,,,,,,,,,
September,2.50,3.10,2.57,,,,,,,,,
October,0.92,3.06,1.76,,,,,,,,,
November,7.39,2.08,2.32,,,,,,,,,
December,4.80,2.88,1.43,,,,,,,,,
Total,39.99,30.15,28.01,,,,,,,,,
Calc annual,39.99,30.15,28.01,2.50,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
