"BIDEFORD (GAMMATON RESERVOIR)",,,,,,,,,,,,
Grid ref,SS483253,Long,-4.163649,Lat,51.007027,,,,,,,
Station no,1862,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.01,3.48,0.98,1.98,6.39,4.55,2.69,3.59,4.88,4.13,,
February,4.44,1.44,1.86,4.07,3.33,0.58,5.46,4.35,0.26,3.35,,
March,4.14,3.11,1.11,3.43,1.37,0.86,3.57,0.76,3.84,1.85,,
April,2.35,3.76,2.39,0.37,1.64,2.03,0.20,0.91,2.33,3.19,,
May,2.88,2.92,3.75,2.59,3.70,1.00,2.77,3.39,1.23,1.62,,
June,1.06,1.88,1.43,3.22,3.59,2.03,1.93,3.09,1.13,1.05,,
July,2.28,1.19,5.44,3.75,1.35,4.27,2.98,3.35,2.08,4.79,,
August,4.58,6.95,3.04,3.17,0.32,3.39,3.42,4.35,1.93,4.67,,
September,2.93,3.84,3.82,4.02,1.78,5.42,4.61,4.92,0.20,5.51,,
October,2.01,5.31,2.81,4.82,3.08,2.29,4.04,4.38,4.81,7.88,,
November,5.03,4.69,2.78,7.89,2.97,1.32,2.36,3.10,8.11,6.61,,
December,4.24,4.03,1.33,2.80,6.52,4.37,2.24,3.95,8.10,6.13,,
Total,40.95,42.60,30.74,42.11,36.04,32.11,36.27,40.14,38.90,50.78,,
Calc annual,40.95,42.60,30.74,42.11,36.04,32.11,36.27,40.14,38.90,50.78,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
