"ROYTON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SD907072,Long,-2.141873,Lat,53.561334,,,,,,,
Station no,2843/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.46,3.25,3.02,4.98,,
February,,,,,,,2.45,4.90,0.36,1.92,,
March,,,,,,,3.27,2.18,1.74,0.85,,
April,,,,,,,0.48,1.16,2.80,2.05,,
May,,,,,,,1.49,3.74,1.39,1.83,,
June,,,,,,,2.07,5.32,3.05,1.62,,
July,,,,,,,5.11,4.18,2.97,6.58,,
August,,,,,,,5.02,5.55,0.57,5.91,,
September,,,,,,,5.57,5.11,0.30,3.16,,
October,,,,,,3.04,5.41,3.63,3.85,3.02,,
November,,,,,,1.21,1.86,1.69,4.35,5.91,,
December,,,,,,3.82,3.95,3.91,5.79,3.84,,
Total,,,,,,,40.14,44.62,30.19,41.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,8.07,40.14,44.62,30.19,41.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
