"MUSWELL HILL (COUNCIL NURSERIES)",,,,,,,,,,,,
Grid ref,TQ280907,Long,-0.153264,Lat,51.600605,,,,,,,
Station no,882,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,1.82,0.91,1.03,2.48,3.88,1.45,2.68,2.14,2.06,,
February,5.24,0.84,2.23,2.52,1.80,0.32,3.26,2.70,0.04,2.52,,
March,3.74,3.18,0.44,2.55,1.13,0.97,1.42,1.18,1.79,1.59,,
April,2.89,1.23,1.87,0.25,0.49,1.30,0.24,1.57,2.73,0.55,,
May,2.29,1.47,1.47,2.03,5.04,0.51,1.10,2.64,0.60,2.10,,
June,1.29,1.99,1.41,4.59,2.27,2.44,0.79,5.22,1.01,1.38,,
July,0.83,0.65,3.99,2.73,0.32,5.55,3.61,2.09,1.55,3.04,,
August,4.14,2.56,2.07,3.46,1.17,6.39,2.16,3.15,2.31,2.04,,
September,3.09,3.66,1.97,1.94,1.82,2.38,2.67,4.23,0.06,5.00,,
October,1.02,3.05,2.20,2.45,3.88,2.49,1.97,2.73,2.37,5.88,,
November,5.65,3.67,1.27,3.92,0.97,0.39,2.55,2.12,2.48,4.28,,
December,1.62,2.34,0.71,2.07,2.16,3.17,1.97,3.07,3.57,2.88,,
Total,34.91,26.46,20.54,29.54,23.53,29.79,23.19,33.38,20.65,33.32,,
Calc annual,34.91,26.46,20.54,29.54,23.53,29.79,23.19,33.38,20.65,33.32,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
