"CARLUKE (SPRINGFIELD RES)",,,,,,,,,,,,
Grid ref,NS906520,Long,-3.744444,Lat,55.748968,,,,,,,
Station no,5168/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,3.18,1.42,3.80,2.17,1.89,4.63,3.02,1.37,3.41,,
February,2.59,1.17,1.52,2.32,1.50,1.69,2.98,2.75,1.64,3.27,,
March,2.53,1.51,0.73,1.66,1.65,2.20,3.32,1.41,1.71,2.06,,
April,2.43,1.84,2.23,1.27,0.94,0.75,1.90,1.51,2.54,2.36,,
May,2.05,1.39,2.22,4.32,2.97,1.34,2.22,3.21,0.97,1.96,,
June,2.38,2.73,1.14,2.67,2.11,2.72,2.70,3.10,2.84,1.89,,
July,3.83,4.30,4.99,3.72,1.69,5.06,4.32,6.63,3.93,3.03,,
August,4.41,5.01,2.77,4.54,2.21,5.85,6.31,3.87,0.85,3.09,,
September,2.19,2.40,2.39,4.60,3.01,3.54,3.05,4.33,1.02,2.37,,
October,1.04,2.64,2.05,7.64,2.67,3.23,4.01,2.59,3.39,2.88,,
November,4.44,2.81,5.32,4.77,1.36,1.44,1.79,1.57,5.93,4.22,,
December,3.76,2.98,4.11,4.18,5.15,4.77,3.90,4.81,4.05,4.57,,
Total,34.94,31.96,30.89,45.49,27.43,34.48,41.13,38.80,30.24,35.11,,
Calc annual,34.94,31.96,30.89,45.49,27.43,34.48,41.13,38.80,30.24,35.11,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
