"MONIKIE (CROMBIE RESERVOIR)",,,,,,,,,,,,
Grid ref,NO522404,Long,-2.779155,Lat,56.553136,,,,,,,
Station no,5596/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,1.50,0.70,1.45,1.59,3.50,3.10,2.80,1.30,5.50,,
February,3.10,0.58,0.99,3.20,2.16,1.65,4.20,2.30,0.35,2.79,,
March,2.90,3.50,0.30,2.88,2.00,1.67,2.75,7.49,1.50,2.80,,
April,2.80,0.91,2.75,1.00,0.90,0.97,0.95,2.30,3.10,2.72,,
May,1.70,2.68,2.15,3.37,2.15,0.70,2.10,3.00,1.08,1.39,,
June,2.45,2.00,1.35,2.49,0.85,4.20,1.00,2.20,2.60,2.60,,
July,3.45,1.90,3.80,2.80,1.00,5.29,5.05,5.51,2.39,3.29,,
August,4.19,4.68,2.02,3.00,0.20,5.60,4.85,2.95,0.65,4.60,,
September,2.30,1.19,2.69,3.40,1.39,4.70,2.30,3.14,0.60,2.51,,
October,0.58,2.48,1.50,5.50,2.00,1.59,2.00,2.20,2.80,8.80,,
November,9.00,2.20,2.50,5.10,2.34,0.80,1.65,1.00,5.90,4.45,,
December,2.30,2.44,3.60,3.50,6.57,3.60,5.10,5.30,5.50,2.31,,
Total,38.92,26.06,24.35,37.69,23.15,34.27,35.05,40.19,27.77,43.76,,
Calc annual,38.92,26.06,24.35,37.69,23.15,34.27,35.05,40.19,27.77,43.76,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
