"GLENSHEE (DEVIL'S BRIDGE, LOCH SHICERNICH)",,,,,,,,,,,,
Grid ref,NO143766,Long,-3.407594,Lat,56.872854,,,,,,,
Station no,5625,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.50,2.90,,,,,,
February,,,,,3.00,1.90,,,,,,
March,,,,5.00,1.50,2.90,,,,,,
April,,,,1.30,1.45,1.05,,,,,,
May,,,,5.15,2.75,1.95,,,,,,
June,,,,1.60,1.50,2.85,,,,,,
July,,,,2.15,0.70,3.65,,,,,,
August,,,,3.00,0.85,6.55,,,,,,
September,,,,4.20,2.00,5.10,,,,,,
October,,,,7.40,3.55,,,,,,,
November,,,,10.85,2.40,,,,,,,
December,,,,6.30,8.00,,,,,,,
Total,,,,,29.20,,,,,,,
Calc annual,0.00,0.00,0.00,46.95,29.20,28.85,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
