"BODMIN (CASTLE HILL HOUSE)",,,,,,,,,,,,
Grid ref,SX077674,Long,-4.711492,Lat,50.474800,,,,,,,
Station no,1885,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.96,5.55,1.51,3.22,7.09,5.78,4.00,6.32,6.95,4.68,,
February,5.63,1.54,1.95,5.00,4.51,0.95,7.29,6.17,0.70,5.92,,
March,5.56,4.21,1.02,4.07,1.61,3.25,5.02,2.85,6.51,2.92,,
April,2.80,3.44,2.91,0.96,1.80,1.00,0.38,1.19,4.41,4.84,,
May,4.22,3.41,4.16,4.67,3.54,1.30,2.31,4.88,1.74,3.11,,
June,1.12,1.46,3.29,5.25,2.97,2.51,3.46,6.42,1.03,2.20,,
July,1.62,1.38,4.06,4.63,1.34,4.12,3.90,3.51,2.19,5.00,,
August,5.91,4.82,2.06,2.70,0.49,4.93,3.84,8.52,4.93,3.99,,
September,4.41,5.06,3.69,5.36,2.67,6.12,4.35,7.88,0.48,5.25,,
October,2.66,7.66,3.11,4.18,4.09,2.63,3.99,3.60,8.13,9.80,,
November,7.60,4.04,3.42,9.63,5.44,2.48,3.15,3.79,10.54,8.38,,
December,5.12,4.83,1.81,4.51,6.96,10.12,4.30,6.19,10.93,5.82,,
Total,52.61,47.40,32.99,54.18,42.51,45.19,45.99,61.32,58.54,61.91,,
Calc annual,52.61,47.40,32.99,54.18,42.51,45.19,45.99,61.32,58.54,61.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
