"CWMBRAN NO.2",,,,,,,,,,,,
Grid ref,ST306959,Long,-3.004660,Lat,51.657583,,,,,,,
Station no,4018/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.12,2.73,5.28,,,,,,,
February,,,1.93,5.05,2.23,,,,,,,
March,,,2.20,5.38,2.84,,,,,,,
April,,,4.79,0.33,1.94,,,,,,,
May,,,3.90,2.78,6.24,,,,,,,
June,,,2.68,5.16,,,,,,,,
July,,,5.38,2.35,,,,,,,,
August,,,4.73,6.10,,,,,,,,
September,,,5.44,6.40,,,,,,,,
October,,6.24,4.35,7.53,,,,,,,,
November,,4.41,3.00,10.09,,,,,,,,
December,,3.45,1.57,4.54,,,,,,,,
Total,,,41.09,58.44,,,,,,,,
Calc annual,0.00,14.10,41.09,58.44,18.53,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
