"DUCHRAY VALLEY ( GLEN DHU ) ",,,,,,,,,,,,
Grid ref,NN406032,Long,-4.570571,Lat,56.194646,,,,,,,
Station no,5365,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.10,7.60,5.70,9.32,5.00,5.50,14.50,10.90,,,,
February,4.05,3.48,4.50,6.78,4.50,3.10,5.50,,,,,
March,4.60,8.70,2.10,6.50,2.00,4.20,9.00,,,,,
April,5.20,5.10,5.10,4.00,4.10,2.80,3.90,,,,,
May,3.50,2.70,5.20,5.10,4.20,5.50,4.00,,,,,
June,4.10,6.30,2.10,3.90,4.10,4.70,2.70,,,,,
July,5.30,4.90,9.50,3.10,1.20,7.90,6.90,,,,,
August,9.00,5.70,6.40,7.25,1.50,8.70,6.70,,,,,
September,7.00,5.30,9.40,9.15,5.90,8.20,6.10,,,,,
October,3.00,8.00,6.20,13.50,5.15,5.90,9.00,,,,,
November,14.20,2.70,12.70,14.00,5.00,4.15,3.00,,,,,
December,14.20,7.80,9.50,15.90,14.25,11.70,11.20,,,,,
Total,85.25,68.28,78.40,98.50,56.90,72.35,82.50,,,,,
Calc annual,85.25,68.28,78.40,98.50,56.90,72.35,82.50,10.90,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
