"EDINBURGH WW (UPPER MENZION)",,,,,,,,,,,,
Grid ref,NT102207,Long,-3.422098,Lat,55.471853,,,,,,,
Station no,5071/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.83,4.72,1.80,3.28,4.30,2.80,7.30,5.60,2.50,3.70,,
February,3.00,1.18,1.50,3.94,2.20,1.50,4.20,3.40,1.50,6.10,,
March,3.00,2.80,0.60,3.28,2.20,2.00,3.60,1.50,3.70,1.80,,
April,4.00,3.50,3.50,1.00,1.83,0.80,2.00,2.00,4.80,5.00,,
May,2.40,2.50,4.00,6.60,3.40,2.60,2.10,3.70,2.80,3.30,,
June,2.10,3.00,1.60,3.90,2.20,3.20,2.00,3.20,2.60,2.40,,
July,3.70,2.80,7.40,4.60,1.70,4.50,3.80,4.50,5.20,3.00,,
August,7.10,4.00,3.20,5.70,2.50,8.00,5.50,5.20,1.30,4.20,,
September,5.20,2.00,5.50,7.20,3.50,4.90,3.10,4.50,1.10,3.40,,
October,0.70,5.60,4.00,10.40,3.40,3.50,5.00,3.80,5.90,4.30,,
November,11.90,3.70,6.40,10.70,2.80,1.90,1.90,1.35,11.10,8.00,,
December,7.20,4.90,4.40,5.70,5.90,6.50,5.90,5.40,8.10,6.00,,
Total,55.13,40.70,43.90,66.30,35.93,42.20,46.40,44.15,50.60,51.20,,
Calc annual,55.13,40.70,43.90,66.30,35.93,42.20,46.40,44.15,50.60,51.20,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
