"ALDERMASTON (BEENHAM HILL)",,,,,,,,,,,,
Grid ref,SU596687,Long,-1.144383,Lat,51.414195,,,,,,,
Station no,798/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,,,,,,,,,,,
February,4.97,,,,,,,,,,,
March,2.93,,,,,,,,,,,
April,3.28,,,,,,,,,,,
May,2.47,,,,,,,,,,,
June,0.64,,,,,,,,,,,
July,1.27,,,,,,,,,,,
August,4.26,,,,,,,,,,,
September,3.28,,,,,,,,,,,
October,0.76,,,,,,,,,,,
November,6.02,,,,,,,,,,,
December,2.25,,,,,,,,,,,
Total,35.01,,,,,,,,,,,
Calc annual,35.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
