"EASTBOURNE (GRANGE ROAD)",,,,,,,,,,,,
Grid ref,TV605985,Long,0.274471,Lat,50.763896,,,,,,,
Station no,527/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.17,2.77,,,,,,,,,,
February,5.71,1.22,,,,,,,,,,
March,3.84,3.29,,,,,,,,,,
April,1.16,1.34,,,,,,,,,,
May,2.13,1.48,,,,,,,,,,
June,1.47,0.64,,,,,,,,,,
July,1.66,0.72,,,,,,,,,,
August,5.88,2.86,,,,,,,,,,
September,3.72,2.97,,,,,,,,,,
October,3.12,2.94,,,,,,,,,,
November,5.44,,,,,,,,,,,
December,2.59,,,,,,,,,,,
Total,40.89,,,,,,,,,,,
Calc annual,40.89,20.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
