"WOOLWICH BARKING OUTFALL",,,,,,,,,,,,
Grid ref,TQ452818,Long,0.091239,Lat,51.516468,,,,,,,
Station no,58,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.93,1.47,0.78,1.02,2.14,2.90,1.14,1.44,1.55,1.26,,
February,5.94,0.80,1.55,1.90,1.17,0.15,2.53,1.81,0.04,1.55,,
March,2.48,2.09,0.42,1.37,0.96,0.83,0.70,0.74,1.12,1.14,,
April,2.89,0.67,1.98,0.21,0.26,0.80,0.13,1.58,1.60,0.39,,
May,1.69,0.98,0.95,1.72,3.98,0.62,0.81,1.71,0.98,1.95,,
June,0.95,1.18,1.22,2.71,2.07,2.83,0.68,4.37,0.34,1.54,,
July,1.49,0.56,3.46,2.29,0.08,3.02,4.30,1.43,0.93,2.08,,
August,3.49,2.40,1.44,3.03,0.82,3.30,2.48,3.68,1.38,2.71,,
September,2.49,2.30,2.03,1.55,2.34,1.89,1.95,4.21,0.10,4.14,,
October,0.79,2.07,3.22,1.44,3.49,0.91,1.69,2.28,1.84,5.39,,
November,3.73,3.07,1.44,-999.00,0.35,0.57,2.29,1.69,2.51,3.22,,
December,1.80,1.65,0.60,1.34,1.43,2.43,1.45,2.46,2.85,1.93,,
Total,29.67,19.24,19.09,21.62,19.09,20.25,20.15,27.40,15.24,27.30,,
Calc annual,29.67,19.24,19.09,18.58,19.09,20.25,20.15,27.40,15.24,27.30,,
Difference,0.00,0.00,0.00,3.04,-0.00,0.00,0.00,-0.00,0.00,0.00,,
