"MOFFAT (AUCHEN CASTLE)",,,,,,,,,,,,
Grid ref,NT068038,Long,-3.470217,Lat,55.319410,,,,,,,
Station no,5036/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.29,4.73,1.91,4.90,3.63,3.49,8.85,6.15,2.78,6.24,,
February,3.82,0.64,1.99,3.30,1.68,1.07,4.77,4.50,1.90,8.85,,
March,2.93,2.28,0.95,3.92,2.11,2.60,4.55,1.79,4.87,2.22,,
April,4.92,3.77,3.57,1.26,2.36,0.96,2.48,1.56,4.06,6.38,,
May,2.27,2.45,3.46,5.58,4.20,2.91,2.43,3.71,1.39,3.06,,
June,2.42,2.94,1.32,4.25,2.66,4.20,1.49,3.42,4.34,3.74,,
July,2.81,1.85,8.99,3.87,1.84,5.16,4.57,5.82,5.28,5.06,,
August,8.18,4.06,3.46,5.46,1.60,8.32,5.48,5.30,1.17,5.44,,
September,6.39,1.92,5.41,7.58,3.86,5.32,3.78,7.30,1.44,3.73,,
October,0.80,6.09,4.58,12.00,2.99,4.52,5.56,4.35,7.22,3.29,,
November,10.21,2.94,8.66,10.20,3.23,2.53,2.73,1.93,10.64,8.32,,
December,9.61,3.99,4.50,6.65,6.33,7.28,5.12,5.12,9.94,6.32,,
Total,60.65,37.66,48.80,68.92,36.49,48.36,51.81,50.95,55.03,62.65,,
Calc annual,60.65,37.66,48.80,68.97,36.49,48.36,51.81,50.95,55.03,62.65,,
Difference,0.00,-0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,,
