"FOREST OF DEAN (BLAKENEY HILL LODGE)",,,,,,,,,,,,
Grid ref,SO661086,Long,-2.492735,Lat,51.775036,,,,,,,
Station no,2129,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,2.11,0.89,2.26,3.39,2.74,2.65,2.12,4.08,4.28,,
February,3.25,0.60,1.56,4.12,1.51,0.50,4.02,3.91,0.26,2.67,,
March,2.81,2.33,1.01,3.55,1.82,0.42,3.48,0.85,2.34,2.08,,
April,2.93,2.10,3.29,0.22,0.95,2.22,0.03,0.36,2.60,1.29,,
May,2.84,3.82,2.77,2.67,4.93,0.81,1.47,2.43,0.85,1.28,,
June,0.59,2.16,1.70,4.96,3.57,2.93,1.10,2.76,1.69,2.34,,
July,0.84,1.68,4.11,2.57,0.43,2.68,3.18,2.80,2.47,3.46,,
August,6.02,5.71,3.99,2.95,0.87,4.19,2.74,2.64,1.58,3.77,,
September,3.95,3.47,2.33,3.29,1.07,3.73,3.47,5.77,0.07,3.93,,
October,0.94,4.80,2.63,5.26,1.45,2.00,2.14,3.76,2.20,5.85,,
November,7.24,3.78,1.38,5.84,4.40,0.55,2.01,2.19,3.32,5.97,,
December,2.87,2.47,0.58,2.06,3.59,4.04,1.85,3.60,5.23,2.97,,
Total,37.81,35.03,26.24,39.75,27.98,26.81,28.14,33.19,26.69,39.89,,
Calc annual,37.81,35.03,26.24,39.75,27.98,26.81,28.14,33.19,26.69,39.89,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
